bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
10_Txn_Elongation	cancHpredH	0.000999000999000999	4.7786	greater	349	0	22544	498	117450551	24900000	1787639	140539870	0.0127198	349	344	140	22200	358	319	3
10_Txn_Elongation	cancHpredL	0.024975024975025	2.0526	greater	990	0	22544	1503	117450551	75150000	4766481	187810023	0.0253793	990	930	406	21614	1097	894	11
10_Txn_Elongation	cancHpredL2	0.420579420579421	0.1477	greater	254	0	22544	505	117450551	25250000	1272893	141404609	0.00900178	254	240	107	22304	398	231	1
10_Txn_Elongation	cancLpredH	0.460539460539461	-0.1775	less	345	0	22544	867	117450551	43350000	1494192	159282948	0.00938074	345	332	134	22212	733	310	1
11_Weak_Txn	cancHpredH	0.000999000999000999	4.1119	greater	1253	0	97631	498	398145393	24900000	4543071	418404193	0.0108581	1253	1245	310	96386	188	1152	8
11_Weak_Txn	cancHpredL	0.020979020979021	2.2812	greater	3694	0	97631	1503	398145393	75150000	13079303	460116956	0.028426	3694	3554	932	94077	571	3425	21
11_Weak_Txn	cancHpredL2	0.432567432567433	-0.168	less	996	0	97631	505	398145393	25250000	3257646	420039611	0.00775557	996	961	267	96670	238	924	1
11_Weak_Txn	cancLpredH	0.300699300699301	-0.5222	less	1434	0	97631	867	398145393	43350000	5355715	436041180	0.0122826	1434	1393	414	96238	453	1342	11
12_Repressed	cancHpredH	0.240759240759241	0.7298	greater	197	0	19884	498	65026101	24900000	529761	89375958	0.00592733	197	196	105	19688	393	184	0
12_Repressed	cancHpredL	0.356643356643357	-0.4459	less	634	0	19884	1503	65026101	75150000	2222619	137932095	0.0161139	634	615	330	19269	1173	599	5
12_Repressed	cancHpredL2	0.388611388611389	0.0922	greater	238	0	19884	505	65026101	25250000	951491	89304221	0.0106545	238	232	121	19652	384	223	3
12_Repressed	cancLpredH	0.424575424575425	0.0932	greater	304	0	19884	867	65026101	43350000	931796	107423554	0.00867404	304	293	155	19591	712	286	1
13_Heterochrom	cancHpredH	0.012987012987013	2.2644	greater	1141	0	84689	498	2017861858	24900000	15369865	2027306806	0.00758142	1141	1095	446	83594	52	797	172
13_Heterochrom	cancHpredL	0.432567432567433	-0.1306	less	3253	0	84689	1503	2017861858	75150000	46201050	2046724616	0.0225732	3253	2736	1328	81953	175	2259	579
13_Heterochrom	cancHpredL2	0.300699300699301	-0.4424	less	1087	0	84689	505	2017861858	25250000	17431952	2025594712	0.00860584	1087	881	468	83808	37	709	251
13_Heterochrom	cancLpredH	0.360639360639361	-0.178	less	1760	0	84689	867	2017861858	43350000	27806854	2033319448	0.0136756	1760	1453	733	83236	134	1179	368
14_Repetitive	cancHpredH	0.268731268731269	-0.7831	less	16	0	3415	498	3894144	24900000	7200	28783031	0.000250147	16	16	12	3399	486	16	0
