bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
A549_SEA	cancHpredH	0.0609390609390609	1.7922	greater	15	0	740	498	10614272	24900000	199751	35313283	0.00565654	15	15	14	725	484	14	2
A549_SEA	cancHpredL	0.000999000999000999	4.2056	greater	81	0	740	1503	10614272	75150000	825034	84936995	0.00971348	81	65	77	675	1426	64	6
A549_SEA	cancHpredL2	0.016983016983017	2.3352	greater	26	0	740	505	10614272	25250000	276599	35586428	0.0077726	26	18	25	722	480	17	2
A549_SEA	cancLpredH	0.00899100899100899	-1.7604	less	4	0	740	867	10614272	43350000	56826	53905839	0.00105417	4	4	4	736	863	4	1
all_fragile_sites	cancHpredH	0.624375624375624	-0.0647	less	4	0	100	498	13675489	24900000	152754	38386800	0.00397934	4	3	4	97	494	1	3
all_fragile_sites	cancHpredL	0.172827172827173	0.6875	greater	21	0	100	1503	13675489	75150000	819810	87968739	0.00931933	21	8	21	92	1482	3	16
all_fragile_sites	cancHpredL2	0.0849150849150849	1.449	greater	11	0	100	505	13675489	25250000	505946	38383601	0.0131813	11	2	11	98	494	0	10
all_fragile_sites	cancLpredH	0.228771228771229	-0.9852	less	1	0	100	867	13675489	43350000	9731	56979454	0.000170781	1	1	1	99	866	0	0
cancerGenes260	cancHpredH	0.240759240759241	0.829	greater	8	0	260	498	20648529	24900000	258351	45289420	0.00570444	8	6	8	254	490	1	5
cancerGenes260	cancHpredL	0.0569430569430569	1.8113	greater	34	0	260	1503	20648529	75150000	1039484	94757282	0.01097	34	22	34	238	1469	12	21
cancerGenes260	cancHpredL2	0.368631368631369	0.2531	greater	7	0	260	505	20648529	25250000	258508	45639256	0.00566416	7	4	7	256	498	2	6
cancerGenes260	cancLpredH	0.296703296703297	-0.7142	less	7	0	260	867	20648529	43350000	183375	63814027	0.00287358	7	6	7	254	860	5	3
cosmic_refGene	cancHpredH	0.556443556443556	-0.0424	less	15	0	561	498	56578706	24900000	407327	81070213	0.00502437	15	15	15	546	483	6	7
cosmic_refGene	cancHpredL	0.044955044955045	1.848	greater	89	0	561	1503	56578706	75150000	2796587	128929948	0.0216907	89	53	88	508	1415	27	54
cosmic_refGene	cancHpredL2	0.276723276723277	0.483	greater	23	0	561	505	56578706	25250000	661966	81165567	0.00815575	23	13	22	548	483	6	13
cosmic_refGene	cancLpredH	0.252747252747253	0.7015	greater	31	0	561	867	56578706	43350000	1048886	98878285	0.0106078	31	18	31	543	836	7	20
fragile_sites	cancHpredH	0.584415584415584	-0.1897	less	3	0	70	498	11224008	24900000	102755	36020685	0.00285267	3	2	3	68	495	1	2
fragile_sites	cancHpredL	0.172827172827173	0.4719	greater	17	0	70	1503	11224008	75150000	678665	85693770	0.00791965	17	6	17	64	1486	3	13
fragile_sites	cancHpredL2	0.0649350649350649	1.6433	greater	11	0	70	505	11224008	25250000	505946	35967487	0.0140668	11	2	11	68	494	0	10
fragile_sites	cancLpredH	0.144855144855145	-1.2061	less	0	0	70	867	11224008	43350000	0	54573071	0	0	0	0	70	867	0	0
refGene	cancHpredH	0.000999000999000999	4.5739	greater	1448	0	57111	498	3132778701	24900000	13974019	1338670149	0.0104387	547	1278	371	55833	127	649	640
refGene	cancHpredL	0.272727272727273	0.6377	greater	3647	0	57111	1503	3132778701	75150000	38899600	1363993563	0.0285189	1566	2528	1089	54583	414	1737	1467
refGene	cancHpredL2	0.188811188811189	-0.894	less	952	0	57111	505	3132778701	25250000	11397257	1341596904	0.00849529	417	662	319	56449	186	430	404
refGene	cancLpredH	0.248751248751249	-0.6148	less	1506	0	57111	867	3132778701	43350000	17347198	1353746601	0.0128142	622	1093	464	56018	403	633	696
