bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
10_Txn_Elongation	cancHpredH	0.000999000999000999	3.8036	greater	431	0	27424	533	130434096	26650000	2009793	155046346	0.0129625	431	429	160	26995	373	382	7
10_Txn_Elongation	cancHpredL	0.0689310689310689	1.4373	greater	784	0	27424	1039	130434096	51950000	3198093	179157540	0.0178507	784	750	285	26674	754	717	2
10_Txn_Elongation	cancHpredL2	0.244755244755245	-0.7326	less	235	0	27424	501	130434096	25050000	1096571	154359600	0.007104	235	223	91	27201	410	211	0
10_Txn_Elongation	cancLpredH	0.464535464535465	-0.1047	less	269	0	27424	559	130434096	27950000	1179398	157176715	0.00750364	269	269	114	27155	445	248	2
11_Weak_Txn	cancHpredH	0.000999000999000999	5.3743	greater	1308	0	90708	533	377582075	26650000	4497908	399642926	0.0112548	1308	1300	323	89408	210	1213	6
11_Weak_Txn	cancHpredL	0.0689310689310689	1.4748	greater	2173	0	90708	1039	377582075	51950000	8376859	421063469	0.0198945	2173	2096	596	88612	443	1999	16
11_Weak_Txn	cancHpredL2	0.0969030969030969	-1.1541	less	747	0	90708	501	377582075	25050000	2691012	399849854	0.00673006	747	723	222	89985	279	690	3
11_Weak_Txn	cancLpredH	0.104895104895105	1.2816	greater	1011	0	90708	559	377582075	27950000	3591522	401849286	0.00893749	1011	996	277	89712	282	936	8
12_Repressed	cancHpredH	0.380619380619381	-0.3419	less	326	0	32314	533	148408665	26650000	1397123	173628695	0.00804661	326	325	144	31989	389	299	1
12_Repressed	cancHpredL	0.360639360639361	0.3257	greater	823	0	32314	1039	148408665	51950000	4085681	196239631	0.0208199	823	780	332	31534	707	735	11
12_Repressed	cancHpredL2	0.372627372627373	-0.4319	less	323	0	32314	501	148408665	25050000	2003058	171422792	0.0116849	323	305	137	32009	364	277	10
12_Repressed	cancLpredH	0.184815184815185	0.9021	greater	355	0	32314	559	148408665	27950000	1540995	174784797	0.00881653	355	351	147	31963	412	329	3
13_Heterochrom	cancHpredH	0.412587412587413	0.2519	greater	1139	0	88720	533	1946348263	26650000	15495842	1957413168	0.00791649	1139	1097	465	87623	68	805	198
13_Heterochrom	cancHpredL	0.308691308691309	-0.4104	less	2232	0	88720	1039	1946348263	51950000	30436420	1967772084	0.0154675	2232	1924	908	86796	131	1578	387
13_Heterochrom	cancHpredL2	0.0889110889110889	-1.3711	less	1008	0	88720	501	1946348263	25050000	17074195	1954234847	0.00873702	1008	824	454	87896	47	636	251
13_Heterochrom	cancLpredH	0.140859140859141	-1.0475	less	1126	0	88720	559	1946348263	27950000	16111135	1958097849	0.00822795	1126	1042	461	87678	98	763	225
14_Repetitive	cancHpredH	0.292707292707293	0.3908	greater	36	0	2971	533	4087056	26650000	52277	30681275	0.00170387	36	36	12	2935	521	35	0
14_Repetitive	cancHpredL	0.136863136863137	1.1251	greater	93	0	2971	1039	4087056	51950000	145598	55887448	0.0026052	93	93	33	2878	1006	92	0
14_Repetitive	cancHpredL2	0.100899100899101	1.4913	greater	52	0	2971	501	4087056	25050000	96165	29037419	0.00331176	52	52	15	2919	486	51	0
14_Repetitive	cancLpredH	0.324675324675325	0.3072	greater	38	0	2971	559	4087056	27950000	83658	31949868	0.00261841	38	38	12	2933	547	38	0
15_Repetitive	cancHpredH	0.288711288711289	0.245	greater	21	0	1730	533	2209799	26650000	21805	28835731	0.00075618	21	21	10	1709	523	21	0
15_Repetitive	cancHpredL	0.136863136863137	0.9642	greater	56	0	1730	1039	2209799	51950000	300443	53856587	0.00557857	56	55	22	1675	1017	51	3
15_Repetitive	cancHpredL2	0.168831168831169	0.9796	greater	29	0	1730	501	2209799	25050000	116203	27141365	0.0042814	29	28	7	1702	494	27	1
15_Repetitive	cancLpredH	0.360639360639361	0.1191	greater	20	0	1730	559	2209799	27950000	13800	30143710	0.000457807	20	20	10	1710	549	20	0
1_Active_Promoter	cancHpredH	0.000999000999000999	3.514	greater	206	0	14013	533	19061786	26650000	283421	45413819	0.00624085	206	206	136	13807	397	198	0
1_Active_Promoter	cancHpredL	0.408591408591409	0.1678	greater	314	0	14013	1039	19061786	51950000	446216	70550518	0.00632477	314	310	221	13703	818	308	0
1_Active_Promoter	cancHpredL2	0.128871128871129	-1.1268	less	94	0	14013	501	19061786	25050000	127089	43970183	0.00289034	94	94	76	13919	425	93	0
1_Active_Promoter	cancLpredH	0.000999000999000999	3.2307	greater	185	0	14013	559	19061786	27950000	230962	46766252	0.00493865	185	183	109	13830	450	180	0
2_Weak_Promoter	cancHpredH	0.000999000999000999	3.7506	greater	360	0	25361	533	11549961	26650000	165580	38008487	0.0043564	360	360	173	25001	360	357	0
2_Weak_Promoter	cancHpredL	0.320679320679321	0.4775	greater	574	0	25361	1039	11549961	51950000	255575	63217986	0.00404276	574	570	285	24791	754	565	0
2_Weak_Promoter	cancHpredL2	0.0649350649350649	-1.4183	less	159	0	25361	501	11549961	25050000	67312	36506787	0.00184382	159	157	91	25204	410	156	0
2_Weak_Promoter	cancLpredH	0.00899100899100899	2.3322	greater	294	0	25361	559	11549961	27950000	130024	39344017	0.0033048	294	293	135	25068	424	288	0
3_Poised_Promoter	cancHpredH	0.484515484515485	0.0129	greater	75	0	7293	533	6933909	26650000	80913	33495170	0.00241566	75	74	55	7219	478	72	0
3_Poised_Promoter	cancHpredL	0.240759240759241	0.6896	greater	193	0	7293	1039	6933909	51950000	192256	58683321	0.00327616	193	193	125	7100	914	192	0
3_Poised_Promoter	cancHpredL2	0.336663336663337	-0.5636	less	62	0	7293	501	6933909	25050000	54132	31921983	0.00169576	62	62	45	7231	456	62	0
3_Poised_Promoter	cancLpredH	0.0649350649350649	1.6129	greater	90	0	7293	559	6933909	27950000	73715	34802342	0.0021181	90	90	53	7203	506	88	0
4_Strong_Enhancer	cancHpredH	0.000999000999000999	4.1585	greater	451	0	30238	533	25758102	26650000	427000	51950331	0.00821939	451	449	192	29789	341	445	0
4_Strong_Enhancer	cancHpredL	0.232767232767233	0.6111	greater	709	0	30238	1039	25758102	51950000	659965	77016860	0.0085691	709	700	320	29538	719	698	0
4_Strong_Enhancer	cancHpredL2	0.208791208791209	-0.8057	less	244	0	30238	501	25758102	25050000	207987	50569376	0.0041129	244	241	116	29997	385	241	0
4_Strong_Enhancer	cancLpredH	0.004995004995005	4.6882	greater	457	0	30238	559	25758102	27950000	501710	53175595	0.00943497	457	455	161	29783	398	449	0
5_Strong_Enhancer	cancHpredH	0.000999000999000999	3.9107	greater	751	0	56021	533	37488230	26650000	450262	63631414	0.0070761	751	750	232	55271	301	741	0
5_Strong_Enhancer	cancHpredL	0.240759240759241	0.7669	greater	1232	0	56021	1039	37488230	51950000	822145	88559025	0.00928358	1232	1221	409	54800	630	1212	0
5_Strong_Enhancer	cancHpredL2	0.208791208791209	-0.8885	less	456	0	56021	501	37488230	25050000	308581	62173127	0.00496325	456	454	149	55567	352	449	0
5_Strong_Enhancer	cancLpredH	0.004995004995005	3.5753	greater	741	0	56021	559	37488230	27950000	472086	64909564	0.00727298	741	740	196	55281	363	729	0
6_Weak_Enhancer	cancHpredH	0.000999000999000999	5.0314	greater	846	0	66450	533	25277826	26650000	323599	51537244	0.00627893	846	845	316	65605	217	839	0
6_Weak_Enhancer	cancHpredL	0.304695304695305	0.4395	greater	1346	0	66450	1039	25277826	51950000	521064	76639273	0.00679892	1346	1344	552	65106	487	1340	0
6_Weak_Enhancer	cancHpredL2	0.0849150849150849	-1.3071	less	499	0	66450	501	25277826	25050000	199248	50061627	0.00398005	499	498	218	65952	283	495	0
6_Weak_Enhancer	cancLpredH	0.00899100899100899	2.635	greater	744	0	66450	559	25277826	27950000	279325	52881492	0.00528209	744	742	286	65708	273	737	0
7_Weak_Enhancer	cancHpredH	0.000999000999000999	4.8962	greater	1594	0	126719	533	56111496	26650000	718821	81915423	0.00877516	1594	1594	338	125125	195	1585	0
7_Weak_Enhancer	cancHpredL	0.148851148851149	0.9297	greater	2628	0	126719	1039	56111496	51950000	1174113	106759625	0.0109977	2628	2621	631	124098	408	2611	0
7_Weak_Enhancer	cancHpredL2	0.140859140859141	-1.1133	less	1009	0	126719	501	56111496	25050000	451959	80582317	0.00560866	1009	1005	246	125714	255	1000	0
7_Weak_Enhancer	cancLpredH	0.012987012987013	2.3232	greater	1409	0	126719	559	56111496	27950000	603984	83330234	0.00724808	1409	1407	302	125312	257	1393	0
