bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
A549_SEA	cancHpredH	0.044955044955045	2.0003	greater	17	0	740	533	10614272	26650000	199573	37063426	0.00538463	17	17	16	723	517	14	2
A549_SEA	cancHpredL	0.000999000999000999	3.0138	greater	46	0	740	1039	10614272	51950000	461619	62100874	0.00743337	46	37	43	703	996	34	5
A549_SEA	cancHpredL2	0.0969030969030969	1.538	greater	18	0	740	501	10614272	25050000	184494	35478537	0.00520016	18	14	18	726	483	12	2
A549_SEA	cancLpredH	0.200799200799201	0.9511	greater	12	0	740	559	10614272	27950000	146624	38416349	0.00381671	12	11	12	729	547	11	1
all_fragile_sites	cancHpredH	0.192807192807193	1.0335	greater	9	0	100	533	13675489	26650000	412659	39876860	0.0103483	9	3	9	97	524	1	8
all_fragile_sites	cancHpredL	0.108891108891109	1.2021	greater	17	0	100	1039	13675489	51950000	680588	64908425	0.0104854	17	7	17	93	1022	2	14
all_fragile_sites	cancHpredL2	0.180819180819181	0.5874	greater	6	0	100	501	13675489	25050000	286655	38402896	0.00746441	6	2	6	98	495	0	6
all_fragile_sites	cancLpredH	0.596403596403596	-0.2408	less	3	0	100	559	13675489	27950000	149997	41439496	0.00361966	3	1	3	99	556	0	3
cancerGenes260	cancHpredH	0.100899100899101	1.5192	greater	10	0	260	533	20648529	26650000	247613	47050123	0.00526275	10	9	10	251	523	3	5
cancerGenes260	cancHpredL	0.004995004995005	3.0038	greater	29	0	260	1039	20648529	51950000	1001880	71595350	0.0139936	29	18	29	242	1010	9	21
cancerGenes260	cancHpredL2	0.476523476523477	0.0484	greater	6	0	260	501	20648529	25050000	239094	45458674	0.00525959	6	3	6	257	495	1	5
cancerGenes260	cancLpredH	0.328671328671329	0.5098	greater	8	0	260	559	20648529	27950000	221755	48375955	0.00458399	8	7	8	253	551	5	4
cosmic_refGene	cancHpredH	0.004995004995005	3.2774	greater	30	0	561	533	56578706	26650000	1022437	82205068	0.0124376	30	24	30	537	503	9	21
cosmic_refGene	cancHpredL	0.004995004995005	3.0327	greater	73	0	561	1039	56578706	51950000	2454041	106072958	0.0231354	73	48	73	513	966	25	51
cosmic_refGene	cancHpredL2	0.308691308691309	0.5175	greater	21	0	561	501	56578706	25050000	725005	80902532	0.00896146	21	12	21	549	480	5	15
cosmic_refGene	cancLpredH	0.304695304695305	0.5737	greater	19	0	561	559	56578706	27950000	554770	83972709	0.00660655	19	14	19	547	540	6	11
fragile_sites	cancHpredH	0.104895104895105	1.4501	greater	9	0	70	533	11224008	26650000	412659	37460746	0.0110158	9	3	9	67	524	1	8
fragile_sites	cancHpredL	0.132867132867133	0.8508	greater	13	0	70	1039	11224008	51950000	537649	62635250	0.00858381	13	6	13	64	1026	2	11
fragile_sites	cancHpredL2	0.136863136863137	0.6949	greater	6	0	70	501	11224008	25050000	286655	35986782	0.00796556	6	2	6	68	495	0	6
fragile_sites	cancLpredH	0.120879120879121	-1.1196	less	0	0	70	559	11224008	27950000	0	39173379	0	0	0	0	70	559	0	0
refGene	cancHpredH	0.000999000999000999	4.4084	greater	1438	0	57111	533	3132778701	26650000	14200291	1340193842	0.0105957	549	1294	386	55817	147	615	641
refGene	cancHpredL	0.0849150849150849	1.374	greater	2552	0	57111	1039	3132778701	51950000	27233764	1352459863	0.0201365	1031	1758	745	55353	294	1152	1118
refGene	cancHpredL2	0.200799200799201	-0.8477	less	907	0	57111	501	3132778701	25050000	11539077	1341255088	0.00860319	393	597	314	56514	187	374	458
refGene	cancLpredH	0.0809190809190809	1.4114	greater	1174	0	57111	559	3132778701	27950000	11232130	1344461977	0.00835437	455	1025	321	56086	238	551	465
