bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
10_Txn_Elongation	cancHpredH	0.344655344655345	0.3563	greater	185	0	27424	343	130434096	17150000	785728	146770601	0.00535344	185	184	74	27240	269	165	1
10_Txn_Elongation	cancHpredL	0.000999000999000999	-5.2871	less	697	0	27424	2352	130434096	117600000	2783709	245220611	0.0113519	697	693	284	26731	2068	638	4
10_Txn_Elongation	cancHpredL2	0.000999000999000999	-2.3852	less	125	0	27424	642	130434096	32100000	458684	162047346	0.00283056	125	125	51	27299	591	120	0
10_Txn_Elongation	cancLpredH	0.004995004995005	4.1121	greater	636	0	27424	840	130434096	42000000	2751856	169653976	0.0162204	636	627	235	26797	605	593	5
11_Weak_Txn	cancHpredH	0.032967032967033	1.8476	greater	662	0	90708	343	377582075	17150000	2224217	392416807	0.005668	662	655	174	90053	169	621	1
11_Weak_Txn	cancHpredL	0.000999000999000999	-5.2994	less	2714	0	90708	2352	377582075	117600000	9943591	485145424	0.0204961	2714	2673	859	88035	1493	2488	14
11_Weak_Txn	cancHpredL2	0.000999000999000999	-2.5614	less	536	0	90708	642	377582075	32100000	1970965	407619760	0.0048353	536	527	176	90181	466	491	1
11_Weak_Txn	cancLpredH	0.000999000999000999	3.9243	greater	1831	0	90708	840	377582075	42000000	6282446	413208081	0.0152041	1831	1794	480	88914	360	1693	10
12_Repressed	cancHpredH	0.012987012987013	2.4406	greater	265	0	32314	343	148408665	17150000	1035009	164490999	0.00629219	265	263	99	32051	244	247	2
12_Repressed	cancHpredL	0.176823176823177	0.8926	greater	1364	0	32314	2352	148408665	117600000	5992969	259981030	0.0230516	1364	1334	583	30980	1769	1238	12
12_Repressed	cancHpredL2	0.0569430569430569	-1.4482	less	202	0	32314	642	148408665	32100000	985221	179490488	0.00548899	202	201	88	32113	554	185	2
12_Repressed	cancLpredH	0.128871128871129	1.1266	greater	551	0	32314	840	148408665	42000000	2348370	188027141	0.0124895	551	538	246	31776	594	505	5
13_Heterochrom	cancHpredH	0.044955044955045	1.8009	greater	785	0	88720	343	1946348263	17150000	11414864	1951994336	0.0058478	785	770	311	87950	32	531	149
13_Heterochrom	cancHpredL	0.000999000999000999	4.1752	greater	5113	0	88720	2352	1946348263	117600000	84816139	1979041052	0.0428572	5113	4621	2135	84099	217	3290	1249
13_Heterochrom	cancHpredL2	0.244755244755245	-0.676	less	1062	0	88720	642	1946348263	32100000	20700265	1957658636	0.010574	1062	870	499	87850	143	599	319
