bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
A549_SEA	cancHpredH	0.316683316683317	0.6207	greater	7	0	740	343	10614272	17150000	79886	27683303	0.00288571	7	7	7	733	336	5	1
A549_SEA	cancHpredL	0.016983016983017	-1.8521	less	23	0	740	2352	10614272	117600000	238464	127972716	0.0018634	23	23	23	717	2329	18	1
A549_SEA	cancHpredL2	0.280719280719281	-0.7535	less	5	0	740	642	10614272	32100000	41538	42671352	0.00097344	5	5	5	735	637	4	0
A549_SEA	cancLpredH	0.012987012987013	2.8236	greater	26	0	740	840	10614272	42000000	272539	52340153	0.00520707	26	24	24	716	816	21	2
all_fragile_sites	cancHpredH	0.288711288711289	0.6708	greater	4	0	100	343	13675489	17150000	162664	30627045	0.00531112	4	2	4	98	339	0	3
all_fragile_sites	cancHpredL	0.000999000999000999	4.6931	greater	47	0	100	2352	13675489	117600000	2273908	128963792	0.0176321	47	11	47	89	2305	2	46
all_fragile_sites	cancHpredL2	0.00899100899100899	5.12	greater	28	0	100	642	13675489	32100000	1399972	44339438	0.031574	28	1	28	99	614	0	28
all_fragile_sites	cancLpredH	0.412587412587413	-0.5402	less	4	0	100	840	13675489	42000000	167450	55471762	0.00301865	4	2	4	98	836	0	3
cancerGenes260	cancHpredH	0.260739260739261	0.8089	greater	5	0	260	343	20648529	17150000	121370	37676556	0.00322137	5	5	5	255	338	0	2
cancerGenes260	cancHpredL	0.380619380619381	0.3415	greater	26	0	260	2352	20648529	117600000	773166	137472751	0.00562414	26	18	26	242	2326	8	18
cancerGenes260	cancHpredL2	0.396603396603397	0.264	greater	6	0	260	642	20648529	32100000	196292	52551335	0.00373524	6	3	6	257	636	1	4
cancerGenes260	cancLpredH	0.104895104895105	1.3178	greater	14	0	260	840	20648529	42000000	317367	62330062	0.00509172	14	12	14	248	826	7	5
cosmic_refGene	cancHpredH	0.0889110889110889	1.5643	greater	16	0	561	343	56578706	17150000	532409	73195286	0.00727382	16	11	16	550	327	1	10
cosmic_refGene	cancHpredL	0.0969030969030969	1.3732	greater	77	0	561	2352	56578706	117600000	2784433	171391253	0.0162461	77	45	77	516	2275	20	57
cosmic_refGene	cancHpredL2	0.384615384615385	0.2112	greater	15	0	561	642	56578706	32100000	528659	88148737	0.00599735	15	9	15	552	627	4	11
cosmic_refGene	cancLpredH	0.300699300699301	0.4932	greater	27	0	561	840	56578706	42000000	635961	97941237	0.00649329	27	24	27	537	813	8	11
fragile_sites	cancHpredH	0.160839160839161	0.9508	greater	4	0	70	343	11224008	17150000	162664	28210931	0.00576599	4	2	4	68	339	0	3
fragile_sites	cancHpredL	0.000999000999000999	5.3352	greater	45	0	70	2352	11224008	117600000	2173910	126647676	0.017165	45	9	45	61	2307	2	44
fragile_sites	cancHpredL2	0.004995004995005	5.7828	greater	28	0	70	642	11224008	32100000	1399972	41923324	0.0333936	28	1	28	69	614	0	28
fragile_sites	cancLpredH	0.152847152847153	-0.9478	less	1	0	70	840	11224008	42000000	17453	53205645	0.000328029	1	1	1	69	839	0	0
refGene	cancHpredH	0.268731268731269	0.5748	greater	687	0	57111	343	3132778701	17150000	8226626	1336667697	0.00615458	290	638	226	56473	117	292	311
refGene	cancHpredL	0.012987012987013	-1.8525	less	3933	0	57111	2352	3132778701	117600000	43057106	1402285208	0.030705	1712	3291	1303	53820	1049	1662	1748
refGene	cancHpredL2	0.220779220779221	-0.8101	less	898	0	57111	642	3132778701	32100000	10987183	1348856841	0.00814555	378	686	319	56425	323	351	458
refGene	cancLpredH	0.000999000999000999	5.6923	greater	2316	0	57111	840	3132778701	42000000	20503216	1349240610	0.0151961	868	1956	568	55155	272	1171	889
