chr	start	end	id	any	interchr	intrachr	translocation
chr1	0	49999	1	0	0	0	0
chr1	50000	99999	2	0	0	0	0
chr1	100000	149999	3	0	0	0	0
chr1	150000	199999	4	0	0	0	0
chr1	200000	249999	5	0	0	0	0
chr1	250000	299999	6	0	0	0	0
chr1	300000	349999	7	0	0	0	0
chr1	350000	399999	8	0	0	0	0
chr1	400000	449999	9	0	0	0	0
chr1	450000	499999	10	0	0	0	0
chr1	500000	549999	11	0	0	0	0
chr1	550000	599999	12	0	0	0	0
chr1	600000	649999	13	0	0	0	0
chr1	650000	699999	14	0	0	0	0
chr1	700000	749999	15	0	0	0	0
chr1	750000	799999	16	0	0	0	0
chr1	800000	849999	17	0	0	0	0
chr1	850000	899999	18	0	0	0	0
chr1	900000	949999	19	0	0	0	0
chr1	950000	999999	20	0	0	0	0
chr1	1000000	1049999	21	0	0	0	0
chr1	1050000	1099999	22	0	0	0	0
chr1	1100000	1149999	23	0	0	0	0
chr1	1150000	1199999	24	0	0	0	0
chr1	1200000	1249999	25	0	0	0	0
chr1	1250000	1299999	26	0	0	0	0
chr1	1300000	1349999	27	0	0	0	0
chr1	1350000	1399999	28	0	0	0	0
chr1	1400000	1449999	29	0	0	0	0
chr1	1450000	1499999	30	0	0	0	0
chr1	1500000	1549999	31	0	0	0	0
chr1	1550000	1599999	32	1	0	1	0
chr1	1600000	1649999	33	0	0	0	0
chr1	1650000	1699999	34	0	0	0	0
chr1	1700000	1749999	35	0	0	0	0
chr1	1750000	1799999	36	0	0	0	0
chr1	1800000	1849999	37	0	0	0	0
chr1	1850000	1899999	38	0	0	0	0
chr1	1900000	1949999	39	0	0	0	0
chr1	1950000	1999999	40	0	0	0	0
chr1	2000000	2049999	41	0	0	0	0
chr1	2050000	2099999	42	0	0	0	0
chr1	2100000	2149999	43	1	0	1	0
chr1	2150000	2199999	44	0	0	0	0
chr1	2200000	2249999	45	0	0	0	0
chr1	2250000	2299999	46	0	0	0	0
chr1	2300000	2349999	47	0	0	0	0
chr1	2350000	2399999	48	0	0	0	0
chr1	2400000	2449999	49	0	0	0	0
chr1	2450000	2499999	50	0	0	0	0
chr1	2500000	2549999	51	0	0	0	0
chr1	2550000	2599999	52	0	0	0	0
chr1	2600000	2649999	53	0	0	0	0
chr1	2650000	2699999	54	0	0	0	0
chr1	2700000	2749999	55	0	0	0	0
chr1	2750000	2799999	56	0	0	0	0
chr1	2800000	2849999	57	0	0	0	0
chr1	2850000	2899999	58	0	0	0	0
chr1	2900000	2949999	59	0	0	0	0
chr1	2950000	2999999	60	0	0	0	0
chr1	3000000	3049999	61	0	0	0	0
chr1	3050000	3099999	62	0	0	0	0
chr1	3100000	3149999	63	0	0	0	0
chr1	3150000	3199999	64	0	0	0	0
chr1	3200000	3249999	65	0	0	0	0
chr1	3250000	3299999	66	0	0	0	0
chr1	3300000	3349999	67	0	0	0	0
chr1	3350000	3399999	68	0	0	0	0
chr1	3400000	3449999	69	0	0	0	0
chr1	3450000	3499999	70	0	0	0	0
chr1	3500000	3549999	71	0	0	0	0
chr1	3550000	3599999	72	0	0	0	0
chr1	3600000	3649999	73	0	0	0	0
chr1	3650000	3699999	74	0	0	0	0
chr1	3700000	3749999	75	0	0	0	0
chr1	3750000	3799999	76	0	0	0	0
chr1	3800000	3849999	77	0	0	0	0
chr1	3850000	3899999	78	0	0	0	0
chr1	3900000	3949999	79	0	0	0	0
chr1	3950000	3999999	80	1	1	0	0
chr1	4000000	4049999	81	0	0	0	0
chr1	4050000	4099999	82	0	0	0	0
chr1	4100000	4149999	83	0	0	0	0
chr1	4150000	4199999	84	0	0	0	0
chr1	4200000	4249999	85	0	0	0	0
chr1	4250000	4299999	86	0	0	0	0
chr1	4300000	4349999	87	0	0	0	0
chr1	4350000	4399999	88	0	0	0	0
chr1	4400000	4449999	89	0	0	0	0
chr1	4450000	4499999	90	0	0	0	0
chr1	4500000	4549999	91	0	0	0	0
chr1	4550000	4599999	92	0	0	0	0
chr1	4600000	4649999	93	0	0	0	0
chr1	4650000	4699999	94	0	0	0	0
chr1	4700000	4749999	95	0	0	0	0
chr1	4750000	4799999	96	0	0	0	0
chr1	4800000	4849999	97	0	0	0	0
chr1	4850000	4899999	98	0	0	0	0
chr1	4900000	4949999	99	0	0	0	0
chr1	4950000	4999999	100	0	0	0	0
chr1	5000000	5049999	101	0	0	0	0
chr1	5050000	5099999	102	0	0	0	0
chr1	5100000	5149999	103	0	0	0	0
chr1	5150000	5199999	104	0	0	0	0
chr1	5200000	5249999	105	0	0	0	0
chr1	5250000	5299999	106	0	0	0	0
chr1	5300000	5349999	107	0	0	0	0
chr1	5350000	5399999	108	0	0	0	0
chr1	5400000	5449999	109	0	0	0	0
chr1	5450000	5499999	110	0	0	0	0
chr1	5500000	5549999	111	0	0	0	0
chr1	5550000	5599999	112	0	0	0	0
chr1	5600000	5649999	113	0	0	0	0
chr1	5650000	5699999	114	0	0	0	0
chr1	5700000	5749999	115	0	0	0	0
chr1	5750000	5799999	116	0	0	0	0
chr1	5800000	5849999	117	0	0	0	0
chr1	5850000	5899999	118	0	0	0	0
chr1	5900000	5949999	119	0	0	0	0
chr1	5950000	5999999	120	1	0	1	0
chr1	6000000	6049999	121	0	0	0	0
chr1	6050000	6099999	122	0	0	0	0
chr1	6100000	6149999	123	0	0	0	0
chr1	6150000	6199999	124	0	0	0	0
chr1	6200000	6249999	125	0	0	0	0
chr1	6250000	6299999	126	0	0	0	0
chr1	6300000	6349999	127	0	0	0	0
chr1	6350000	6399999	128	0	0	0	0
chr1	6400000	6449999	129	0	0	0	0
chr1	6450000	6499999	130	0	0	0	0
chr1	6500000	6549999	131	0	0	0	0
chr1	6550000	6599999	132	0	0	0	0
chr1	6600000	6649999	133	0	0	0	0
chr1	6650000	6699999	134	1	0	1	0
chr1	6700000	6749999	135	0	0	0	0
chr1	6750000	6799999	136	0	0	0	0
chr1	6800000	6849999	137	0	0	0	0
chr1	6850000	6899999	138	0	0	0	0
chr1	6900000	6949999	139	0	0	0	0
chr1	6950000	6999999	140	0	0	0	0
chr1	7000000	7049999	141	0	0	0	0
chr1	7050000	7099999	142	0	0	0	0
chr1	7100000	7149999	143	0	0	0	0
chr1	7150000	7199999	144	0	0	0	0
chr1	7200000	7249999	145	0	0	0	0
chr1	7250000	7299999	146	0	0	0	0
chr1	7300000	7349999	147	0	0	0	0
chr1	7350000	7399999	148	0	0	0	0
chr1	7400000	7449999	149	0	0	0	0
chr1	7450000	7499999	150	0	0	0	0
chr1	7500000	7549999	151	0	0	0	0
chr1	7550000	7599999	152	0	0	0	0
chr1	7600000	7649999	153	0	0	0	0
chr1	7650000	7699999	154	0	0	0	0
chr1	7700000	7749999	155	0	0	0	0
chr1	7750000	7799999	156	0	0	0	0
chr1	7800000	7849999	157	0	0	0	0
chr1	7850000	7899999	158	0	0	0	0
chr1	7900000	7949999	159	0	0	0	0
chr1	7950000	7999999	160	1	0	1	0
chr1	8000000	8049999	161	0	0	0	0
chr1	8050000	8099999	162	0	0	0	0
chr1	8100000	8149999	163	0	0	0	0
chr1	8150000	8199999	164	0	0	0	0
chr1	8200000	8249999	165	0	0	0	0
chr1	8250000	8299999	166	0	0	0	0
chr1	8300000	8349999	167	0	0	0	0
chr1	8350000	8399999	168	0	0	0	0
chr1	8400000	8449999	169	0	0	0	0
chr1	8450000	8499999	170	0	0	0	0
chr1	8500000	8549999	171	1	1	0	0
chr1	8550000	8599999	172	0	0	0	0
chr1	8600000	8649999	173	0	0	0	0
chr1	8650000	8699999	174	0	0	0	0
chr1	8700000	8749999	175	0	0	0	0
chr1	8750000	8799999	176	0	0	0	0
chr1	8800000	8849999	177	0	0	0	0
chr1	8850000	8899999	178	0	0	0	0
chr1	8900000	8949999	179	0	0	0	0
chr1	8950000	8999999	180	0	0	0	0
chr1	9000000	9049999	181	0	0	0	0
chr1	9050000	9099999	182	0	0	0	0
chr1	9100000	9149999	183	1	1	0	0
chr1	9150000	9199999	184	0	0	0	0
chr1	9200000	9249999	185	0	0	0	0
chr1	9250000	9299999	186	0	0	0	0
chr1	9300000	9349999	187	1	0	1	0
chr1	9350000	9399999	188	0	0	0	0
chr1	9400000	9449999	189	0	0	0	0
chr1	9450000	9499999	190	0	0	0	0
chr1	9500000	9549999	191	0	0	0	0
chr1	9550000	9599999	192	0	0	0	0
chr1	9600000	9649999	193	0	0	0	0
chr1	9650000	9699999	194	0	0	0	0
chr1	9700000	9749999	195	0	0	0	0
chr1	9750000	9799999	196	0	0	0	0
chr1	9800000	9849999	197	0	0	0	0
chr1	9850000	9899999	198	0	0	0	0
chr1	9900000	9949999	199	0	0	0	0
chr1	9950000	9999999	200	0	0	0	0
chr1	10000000	10049999	201	0	0	0	0
chr1	10050000	10099999	202	0	0	0	0
chr1	10100000	10149999	203	0	0	0	0
chr1	10150000	10199999	204	0	0	0	0
chr1	10200000	10249999	205	0	0	0	0
chr1	10250000	10299999	206	0	0	0	0
chr1	10300000	10349999	207	0	0	0	0
chr1	10350000	10399999	208	0	0	0	0
chr1	10400000	10449999	209	0	0	0	0
chr1	10450000	10499999	210	0	0	0	0
chr1	10500000	10549999	211	0	0	0	0
chr1	10550000	10599999	212	0	0	0	0
chr1	10600000	10649999	213	0	0	0	0
chr1	10650000	10699999	214	0	0	0	0
chr1	10700000	10749999	215	0	0	0	0
chr1	10750000	10799999	216	0	0	0	0
chr1	10800000	10849999	217	0	0	0	0
chr1	10850000	10899999	218	0	0	0	0
chr1	10900000	10949999	219	0	0	0	0
chr1	10950000	10999999	220	0	0	0	0
chr1	11000000	11049999	221	0	0	0	0
chr1	11050000	11099999	222	0	0	0	0
chr1	11100000	11149999	223	0	0	0	0
chr1	11150000	11199999	224	0	0	0	0
chr1	11200000	11249999	225	0	0	0	0
chr1	11250000	11299999	226	0	0	0	0
chr1	11300000	11349999	227	0	0	0	0
chr1	11350000	11399999	228	0	0	0	0
chr1	11400000	11449999	229	0	0	0	0
chr1	11450000	11499999	230	0	0	0	0
chr1	11500000	11549999	231	0	0	0	0
chr1	11550000	11599999	232	0	0	0	0
chr1	11600000	11649999	233	0	0	0	0
chr1	11650000	11699999	234	0	0	0	0
chr1	11700000	11749999	235	0	0	0	0
chr1	11750000	11799999	236	0	0	0	0
chr1	11800000	11849999	237	0	0	0	0
chr1	11850000	11899999	238	0	0	0	0
chr1	11900000	11949999	239	0	0	0	0
chr1	11950000	11999999	240	0	0	0	0
chr1	12000000	12049999	241	0	0	0	0
chr1	12050000	12099999	242	0	0	0	0
chr1	12100000	12149999	243	0	0	0	0
chr1	12150000	12199999	244	0	0	0	0
chr1	12200000	12249999	245	0	0	0	0
chr1	12250000	12299999	246	0	0	0	0
