chr	start	end	breaks	predicted
1	0	49999	6.00012e-05	9.21501128272259e-05
1	50000	99999	0.000100002	5.72633534913101e-05
1	1e+05	149999	0.000100002	0.000126087127053406
1	150000	199999	0.000120002	2.59718480286599e-05
1	2e+05	249999	0	0.000108603273132962
1	250000	299999	0	2.34906635294078e-05
1	3e+05	349999	0	1.34246765025586e-06
1	350000	399999	0	6.64868369546455e-07
1	4e+05	449999	0	3.63268913976603e-06
1	450000	499999	0	1.23701895951914e-06
1	5e+05	549999	8.00016e-05	0.000187991510558464
1	550000	599999	0.000800016	0.000501895118127147
1	6e+05	649999	4.00008e-05	5.28630493010713e-05
1	650000	699999	6.00012e-05	0.000147211917137477
1	7e+05	749999	0.00336007	0.00242207027980072
1	750000	799999	0.00240005	0.00459037739152381
1	8e+05	849999	0.0051601	0.00655718125230203
1	850000	899999	0.0239405	0.0317099849350936
1	9e+05	949999	0.0163203	0.0111674728155668
1	950000	999999	0.0268005	0.0181214240240741
1	1e+06	1049999	0.0171804	0.0130454181599327
1	1050000	1099999	0.00890018	0.00997441251599326
1	1100000	1149999	0.00878017	0.00922341605337079
1	1150000	1199999	0.0183004	0.0152533198520408
1	1200000	1249999	0.0181404	0.0126726316290944
1	1250000	1299999	0.0126403	0.0159641365935754
1	1300000	1349999	0.0194004	0.0146450750970588
1	1350000	1399999	0.00586012	0.00582059459981685
1	1400000	1449999	0.00584012	0.00835508869749104
1	1450000	1499999	0.0110802	0.0113026664090909
1	1500000	1549999	0.00698014	0.00692135456703911
1	1550000	1599999	0.00724015	0.00949958679545455
1	1600000	1649999	0.00754015	0.00957092467383513
1	1650000	1699999	0.0103802	0.0145426972946875
1	1700000	1749999	0.0115602	0.0123757736348315
1	1750000	1799999	0.0135603	0.00884802175544389
1	1800000	1849999	0.0152803	0.00968461508812261
1	1850000	1899999	0.00672013	0.00641843192371476
1	1900000	1949999	0.00628012	0.00537994575
1	1950000	1999999	0.00790016	0.00857264809585585
1	2e+06	2049999	0.0110602	0.00989059839571429
1	2050000	2099999	0.0105002	0.00942905873353294
1	2100000	2149999	0.0105002	0.00986085278929188
1	2150000	2199999	0.0165603	0.0105370810020704
1	2200000	2249999	0.0165803	0.0105107127946735
1	2250000	2299999	0.00772016	0.00690381795306513
1	2300000	2349999	0.0178004	0.0141782092326203
1	2350000	2399999	0.00738015	0.00669731173611111
1	2400000	2449999	0.00912018	0.00988018190345423
1	2450000	2499999	0.00886018	0.00937507018895349
1	2500000	2549999	0.00704014	0.00776069511202186
1	2550000	2599999	0.0049201	0.00579062514248705
1	2600000	2649999	0.00190004	0.00433769135572597
1	2650000	2699999	0.000780015	0.000615301210346822
1	2700000	2749999	0.00560011	0.00622274187833333
1	2750000	2799999	0.00666014	0.00638888020185185
1	2800000	2849999	0.00752015	0.00668085335701275
1	2850000	2899999	0.00666014	0.00620956017666667
1	2900000	2949999	0.00728015	0.00600417467183908
1	2950000	2999999	0.00714014	0.00607223761141304
1	3e+06	3049999	0.00886017	0.0078607295698324
1	3050000	3099999	0.00884018	0.00735639197003745
1	3100000	3149999	0.00910019	0.00727021234185606
1	3150000	3199999	0.00918019	0.00623486180570902
1	3200000	3249999	0.00832017	0.00729217998731884
1	3250000	3299999	0.00816017	0.00777086132594417
1	3300000	3349999	0.00826016	0.00845018873981482
1	3350000	3399999	0.0109002	0.010831645237963
1	3400000	3449999	0.0138003	0.0112175345727891
1	3450000	3499999	0.00904017	0.0072157087287415
1	3500000	3549999	0.00774016	0.00903426347423221
1	3550000	3599999	0.00920019	0.00930610233333333
1	3600000	3649999	0.00800016	0.00979236059947644
1	3650000	3699999	0.00852016	0.00773414114741533
1	3700000	3749999	0.00922018	0.00813242331810036
1	3750000	3799999	0.00810016	0.00802345068560606
1	3800000	3849999	0.00666014	0.00736073082635659
1	3850000	3899999	0	6.99805636823932e-06
1	3900000	3949999	0	3.76534096253878e-05
1	3950000	3999999	0.000440009	0.000303382914782607
1	4e+06	4049999	0.00564011	0.00545376218692449
1	4050000	4099999	0.0048401	0.00511860167949318
1	4100000	4149999	0.0053601	0.00561631725653595
1	4150000	4199999	0.0049401	0.00508703919180952
1	4200000	4249999	0.00730015	0.00546785829336735
1	4250000	4299999	0.00546011	0.00475980979322638
1	4300000	4349999	0.00432009	0.00439132355842912
1	4350000	4399999	0.00694014	0.00596053594067797
1	4400000	4449999	0.00720014	0.00579155273258004
1	4450000	4499999	0.00516011	0.00540128511323529
1	4500000	4549999	0.00544012	0.00581246685858586
1	4550000	4599999	0.0049801	0.00541256504283054
1	4600000	4649999	0.00452009	0.00517598883608059
1	4650000	4699999	0.00556011	0.00586583293421053
1	4700000	4749999	0.0054401	0.00618725527664975
1	4750000	4799999	0.00596012	0.00614672035588235
1	4800000	4849999	0.00608012	0.00635862913405797
1	4850000	4899999	0.0048801	0.00523335102920962
1	4900000	4949999	0.00332007	0.00443178018655303
1	4950000	4999999	0.00498009	0.00526578536759259
1	5e+06	5049999	0.00504011	0.00533555456547619
1	5050000	5099999	0.00444009	0.0048294614264432
1	5100000	5149999	0.00324007	0.00360473869142857
1	5150000	5199999	0.00378008	0.0045261674453405
1	5200000	5249999	0.0050601	0.00481322226102293
1	5250000	5299999	0.00476009	0.00449556254079861
1	5300000	5349999	0.00576012	0.00472959937325349
1	5350000	5399999	0.0050401	0.00520805915277778
1	5400000	5449999	0.00608012	0.00488500647650273
1	5450000	5499999	0.00604012	0.00583386885619048
1	5500000	5549999	0.00592012	0.00614108456020942
1	5550000	5599999	0.00630013	0.00530540785809524
1	5600000	5649999	0.00496011	0.0046717263956044
1	5650000	5699999	0.0049201	0.00508976864964158
1	5700000	5749999	0.00604012	0.0108713901099145
1	5750000	5799999	0.00656013	0.00587637397351852
1	5800000	5849999	0.0050001	0.00588432982297064
1	5850000	5899999	0.00630012	0.00611949928411054
1	5900000	5949999	0.0096802	0.00901974934543762
1	5950000	5999999	0.00798016	0.0071812115377551
1	6e+06	6049999	0.00884018	0.00817424384753153
1	6050000	6099999	0.00722014	0.00828431017372134
1	6100000	6149999	0.00806017	0.00790493043206522
1	6150000	6199999	0.00764015	0.00785260548360656
1	6200000	6249999	0.0103802	0.0103186209670121
1	6250000	6299999	0.0101002	0.0121991829625668
1	6300000	6349999	0.00924018	0.00943677735609319
1	6350000	6399999	0.00762014	0.0088637795012272
1	6400000	6449999	0.00772015	0.00845372067613636
1	6450000	6499999	0.00686014	0.00709245448342857
1	6500000	6549999	0.0111402	0.0119427181070812
1	6550000	6599999	0.00668013	0.00852838597180763
1	6600000	6649999	0.00844016	0.00752862732596685
1	6650000	6699999	0.00974019	0.0121738239335017
1	6700000	6749999	0.00784015	0.00686081179968701
1	6750000	6799999	0.0045801	0.00478671345291228
1	6800000	6849999	0.00542011	0.00502192279968102
1	6850000	6899999	0.00748015	0.0062358946835206
1	6900000	6949999	0.0099002	0.0066462531969697
1	6950000	6999999	0.00688014	0.00668821760901468
1	7e+06	7049999	0.00672014	0.00594359763368794
1	7050000	7099999	0.00550011	0.00520033752222222
1	7100000	7149999	0.00664013	0.00625992367977528
1	7150000	7199999	0.00626012	0.00624594986631016
1	7200000	7249999	0.0051401	0.0053843202201087
1	7250000	7299999	0.00526011	0.00503417185992908
1	7300000	7349999	0.0050001	0.00529369413654618
1	7350000	7399999	0.00514011	0.00590219792714025
1	7400000	7449999	0.00676013	0.00667831766394928
1	7450000	7499999	0.00508011	0.00559579236885246
1	7500000	7549999	0.00638012	0.00774377416569767
1	7550000	7599999	0.00680014	0.0076779777521589
1	7600000	7649999	0.00756015	0.00632330984444444
1	7650000	7699999	0.00564012	0.00586174028362573
1	7700000	7749999	0.00644013	0.0071445860942029
1	7750000	7799999	0.00756014	0.00585881118
1	7800000	7849999	0.00636012	0.00616928674365942
1	7850000	7899999	0.00612012	0.00632879426929825
1	7900000	7949999	0.0050601	0.00523700719963964
1	7950000	7999999	0.00420008	0.00408382118983957
1	8e+06	8049999	0.00648014	0.00842943815731292
1	8050000	8099999	0.0106402	0.00938402116760829
1	8100000	8149999	0.0050801	0.00479664153675214
1	8150000	8199999	0.00546012	0.00548473100931099
1	8200000	8249999	0.00458009	0.00522760352071563
1	8250000	8299999	0.00550011	0.00555403110531136
1	8300000	8349999	0.00412008	0.00447359833832335
1	8350000	8399999	0.00544011	0.00517807332216495
1	8400000	8449999	0.0117202	0.0105607091096257
1	8450000	8499999	0.0113402	0.0074996617787194
1	8500000	8549999	0.00930018	0.00761830380202578
1	8550000	8599999	0.00742015	0.00630119762280702
1	8600000	8649999	0.0100802	0.00662291711844332
1	8650000	8699999	0.0096402	0.00672960507815443
1	8700000	8749999	0.0112202	0.00715347152083333
1	8750000	8799999	0.00772015	0.0064235780870297
1	8800000	8849999	0.00954019	0.00598856703208556
1	8850000	8899999	0.00652013	0.00597109547299145
1	8900000	8949999	0.0157203	0.0131668982857766
1	8950000	8999999	0.00484009	0.00473563418085106
1	9e+06	9049999	0.0048601	0.00476432398351648
1	9050000	9099999	0.0050401	0.00506787663841808
1	9100000	9149999	0.00506011	0.00535308844769504
1	9150000	9199999	0.00820017	0.0080557624122807
1	9200000	9249999	0.0139603	0.0101098261566484
1	9250000	9299999	0.00682014	0.00552789817929293
1	9300000	9349999	0.0103602	0.00933459262357388
1	9350000	9399999	0.0155003	0.0130918054622807
1	9400000	9449999	0.0101402	0.00950266249911816
1	9450000	9499999	0.00604012	0.00596588286625514
1	9500000	9549999	0.00626013	0.00534405577809524
1	9550000	9599999	0.00436009	0.00401115618032787
1	9600000	9649999	0.00616012	0.00587474604545455
1	9650000	9699999	0.00804016	0.00760636585992714
1	9700000	9749999	0.00436009	0.00445143702592593
1	9750000	9799999	0.0151003	0.00772001963907407
1	9800000	9849999	0.00932019	0.00683115374509804
1	9850000	9899999	0.00818016	0.00613517690078652
1	9900000	9949999	0.00920018	0.00890834128350516
1	9950000	9999999	0.00628012	0.00638268753222857
1	1e+07	10049999	0.00562011	0.00542760436447154
1	10050000	10099999	0.0054001	0.00500772069294326
1	10100000	10149999	0.00742015	0.00782474821301248
1	10150000	10199999	0.00880018	0.00697754433783784
1	10200000	10249999	0.0102202	0.00677098508617424
1	10250000	10299999	0.00686013	0.00511619668262411
1	10300000	10349999	0.00670014	0.00555628613772455
1	10350000	10399999	0.00782015	0.00594867153932584
1	10400000	10449999	0.00914019	0.00656644523809524
