chr	start	end	id	TCGA-BLOOD.all	TCGA-BLOOD.amp	TCGA-BLOOD.del	TCGA-BRCA.all	TCGA-BRCA.amp	TCGA-BRCA.del	TCGA-BRCA.segs	TCGA-PANC.all	TCGA-PANC.amp	TCGA-PANC.del	TCGA-SCCA.all	TCGA-SCCA.amp	TCGA-SCCA.del
chr1	0	49999	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	50000	99999	2	31	10	21	82	24	58	1262	900	216	684	98	20	78
chr1	100000	149999	3	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	150000	199999	4	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	200000	249999	5	4	1	3	9	1	8	162	136	53	83	11	4	7
chr1	250000	299999	6	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	300000	349999	7	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	350000	399999	8	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	400000	449999	9	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	450000	499999	10	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	500000	549999	11	0	0	0	7	0	7	128	37	2	35	0	0	0
chr1	550000	599999	12	0	0	0	1	0	1	39	19	6	13	0	0	0
chr1	600000	649999	13	0	0	0	7	2	5	89	55	8	47	1	1	0
chr1	650000	699999	14	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	700000	749999	15	0	0	0	3	1	2	181	26	10	16	1	1	0
chr1	750000	799999	16	6	3	3	13	2	11	236	139	23	116	7	1	6
chr1	800000	849999	17	6	0	6	0	0	0	59	25	17	8	1	1	0
chr1	850000	899999	18	0	0	0	1	0	1	41	7	2	5	0	0	0
chr1	900000	949999	19	2	0	2	2	1	1	64	43	7	36	1	0	1
chr1	950000	999999	20	2	0	2	7	1	6	32	109	14	95	17	2	15
chr1	1000000	1049999	21	1	0	1	7	1	6	43	112	10	102	13	1	12
chr1	1050000	1099999	22	0	0	0	0	0	0	5	2	0	2	0	0	0
chr1	1100000	1149999	23	0	0	0	0	0	0	6	1	1	0	0	0	0
chr1	1150000	1199999	24	1	1	0	1	0	1	23	27	5	22	6	2	4
chr1	1200000	1249999	25	24	1	23	3	0	3	58	72	30	42	4	3	1
chr1	1250000	1299999	26	1	0	1	0	0	0	29	35	17	18	5	3	2
chr1	1300000	1349999	27	0	0	0	0	0	0	7	6	1	5	0	0	0
chr1	1350000	1399999	28	0	0	0	1	0	1	2	3	0	3	0	0	0
chr1	1400000	1449999	29	0	0	0	5	1	4	8	49	3	46	5	0	5
chr1	1450000	1499999	30	5	0	5	2	0	2	19	27	0	27	3	0	3
chr1	1500000	1549999	31	4	0	4	2	1	1	68	24	6	18	3	0	3
chr1	1550000	1599999	32	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	1600000	1649999	33	10	0	10	53	18	35	195	608	159	449	73	16	57
chr1	1650000	1699999	34	16	0	16	68	20	48	416	793	201	592	103	22	81
chr1	1700000	1749999	35	5	0	5	3	1	2	44	58	34	24	4	2	2
chr1	1750000	1799999	36	1	0	1	2	0	2	33	12	5	7	1	0	1
chr1	1800000	1849999	37	4	0	4	1	1	0	23	28	18	10	1	1	0
chr1	1850000	1899999	38	2	0	2	3	0	3	45	40	2	38	2	0	2
chr1	1900000	1949999	39	6	0	6	4	0	4	70	21	1	20	2	0	2
chr1	1950000	1999999	40	2	0	2	2	0	2	29	26	5	21	2	1	1
chr1	2000000	2049999	41	8	0	8	6	0	6	34	59	0	59	0	0	0
chr1	2050000	2099999	42	6	0	6	29	3	26	82	230	10	220	15	1	14
chr1	2100000	2149999	43	3	0	3	1	1	0	11	9	5	4	0	0	0
chr1	2150000	2199999	44	1	0	1	1	0	1	4	7	3	4	0	0	0
chr1	2200000	2249999	45	3	0	3	2	0	2	14	24	8	16	2	2	0
chr1	2250000	2299999	46	4	0	4	13	2	11	42	184	77	107	27	12	15
chr1	2300000	2349999	47	0	0	0	4	0	4	47	44	7	37	5	1	4
chr1	2350000	2399999	48	5	0	5	3	0	3	27	29	2	27	8	0	8
chr1	2400000	2449999	49	0	0	0	2	0	2	14	16	1	15	1	0	1
chr1	2450000	2499999	50	10	4	6	5	1	4	61	72	9	63	2	0	2
chr1	2500000	2549999	51	3	0	3	0	0	0	20	26	5	21	2	1	1
chr1	2550000	2599999	52	1	0	1	0	0	0	21	2	1	1	0	0	0
chr1	2600000	2649999	53	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	2650000	2699999	54	0	0	0	0	0	0	11	2	1	1	0	0	0
chr1	2700000	2749999	55	2	0	2	0	0	0	30	13	3	10	1	0	1
chr1	2750000	2799999	56	3	0	3	5	1	4	22	54	2	52	4	0	4
chr1	2800000	2849999	57	6	0	6	1	0	1	23	27	5	22	4	1	3
chr1	2850000	2899999	58	2	1	1	5	2	3	33	43	16	27	5	3	2
chr1	2900000	2949999	59	9	0	9	4	0	4	41	61	2	59	1	0	1
chr1	2950000	2999999	60	6	0	6	8	2	6	100	28	5	23	1	0	1
chr1	3000000	3049999	61	5	0	5	15	3	12	101	72	11	61	5	0	5
chr1	3050000	3099999	62	3	0	3	4	0	4	35	26	3	23	3	1	2
chr1	3100000	3149999	63	3	0	3	3	0	3	116	68	4	64	5	1	4
chr1	3150000	3199999	64	15	0	15	1	0	1	101	31	1	30	1	1	0
chr1	3200000	3249999	65	21	1	20	9	4	5	1985	110	26	84	3	1	2
chr1	3250000	3299999	66	10	0	10	9	2	7	118	81	5	76	9	1	8
chr1	3300000	3349999	67	5	0	5	13	5	8	107	141	58	83	16	3	13
chr1	3350000	3399999	68	0	0	0	5	3	2	13	9	3	6	0	0	0
chr1	3400000	3449999	69	3	0	3	3	1	2	38	12	1	11	1	0	1
