chr	start	end	breaks	predicted
1	0	49999	0	3.3523375435606e-05
1	50000	99999	0	1.20693260103622e-05
1	1e+05	149999	0	2.50373368324124e-05
1	150000	199999	0	4.42220016750282e-06
1	2e+05	249999	0	5.61753958333236e-06
1	250000	299999	0	1.21733588397781e-05
1	3e+05	349999	0	1.65656263230234e-05
1	350000	399999	0	1.7350771846153e-05
1	4e+05	449999	0	6.89026927374209e-06
1	450000	499999	0	3.62483668571326e-06
1	5e+05	549999	4.00008e-05	2.5532714242424e-05
1	550000	599999	0	6.76319810450449e-05
1	6e+05	649999	0	1.59925229434693e-05
1	650000	699999	0	7.78835451388786e-06
1	7e+05	749999	0.000100002	0.000326946629042735
1	750000	799999	0.000400008	0.000876216348409091
1	8e+05	849999	0.000740015	0.00103462436744792
1	850000	899999	0.00114002	0.00111785821483421
1	9e+05	949999	0.00108002	0.00115618216203704
1	950000	999999	0.00124002	0.00102136444423077
1	1e+06	1049999	0.00106002	0.000843770251105442
1	1050000	1099999	0.00106002	0.000961897538733706
1	1100000	1149999	0.00110002	0.000928744363095237
1	1150000	1199999	0.00110002	0.00103992982504931
1	1200000	1249999	0.00142003	0.00117589841448413
1	1250000	1299999	0.00132003	0.00112460896067864
1	1300000	1349999	0.00122002	0.00113422296185185
1	1350000	1399999	0.000800016	0.00092476230092081
1	1400000	1449999	0.000620012	0.000902919483622351
1	1450000	1499999	0.000880018	0.000872098697074468
1	1500000	1549999	0.000860017	0.00115250226904762
1	1550000	1599999	0.000720014	0.000806455602985348
1	1600000	1649999	0.000380008	0.000672853320922787
1	1650000	1699999	0.000460009	0.000842597799643494
1	1700000	1749999	0.000760015	0.00102258817094718
1	1750000	1799999	0.000640013	0.000727515393783784
1	1800000	1849999	0.00122002	0.00108565535872193
1	1850000	1899999	0.000780016	0.00103970646030596
1	1900000	1949999	0.000620012	0.000927243030243446
1	1950000	1999999	0.000960019	0.000834765665681004
1	2e+06	2049999	0.000800016	0.000910439778014185
1	2050000	2099999	0.000940019	0.00111274449936248
1	2100000	2149999	0.00152003	0.0011437616559237
1	2150000	2199999	0.00112002	0.00099117788875
1	2200000	2249999	0.00104002	0.000872944223861566
1	2250000	2299999	0.00098002	0.000772204417509363
1	2300000	2349999	0.00154003	0.00110379101635802
1	2350000	2399999	0.000700014	0.000707883748731884
1	2400000	2449999	0.00102002	0.000785426604545454
1	2450000	2499999	0.000920018	0.00096975762625969
1	2500000	2549999	0.00102002	0.000881519199910394
1	2550000	2599999	0.000540011	0.000829647244982994
1	2600000	2649999	0	0.00068204207998325
1	2650000	2699999	6.00012e-05	0.000156671444112769
1	2700000	2749999	0.000700014	0.000639556227536232
1	2750000	2799999	0.000660013	0.000733079093189964
1	2800000	2849999	0.000820016	0.00079212568927305
1	2850000	2899999	0.000580012	0.000704105058247423
1	2900000	2949999	0.000820016	0.000748069157397004
1	2950000	2999999	0.00098002	0.000637568861764706
1	3e+06	3049999	0.00098002	0.00071847512704918
1	3050000	3099999	0.000800016	0.000833595276734349
1	3100000	3149999	0.000720014	0.000768702423836127
1	3150000	3199999	0.000760015	0.000769313165425532
1	3200000	3249999	0.000780016	0.000897425120565302
1	3250000	3299999	0.000840017	0.000790791004438406
1	3300000	3349999	0.000620012	0.000837312461309524
1	3350000	3399999	0.000840017	0.000769597724283154
1	3400000	3449999	0.000840017	0.000733512827894737
1	3450000	3499999	0.000920018	0.000738885659480287
1	3500000	3549999	0.00144003	0.00104349001774193
1	3550000	3599999	0.00116002	0.000937767108379889
1	3600000	3649999	0.000780016	0.000851618271400395
1	3650000	3699999	0.00142003	0.00110517718564103
1	3700000	3749999	0.000960019	0.00105180175579323
1	3750000	3799999	0.000860017	0.000855588373214286
1	3800000	3849999	0.00112002	0.00107898243666667
1	3850000	3899999	0	3.84681334671762e-07
1	3900000	3949999	0	1.32647267953013e-07
1	3950000	3999999	0.000180004	8.82571233687941e-05
1	4e+06	4049999	0.00100002	0.000910092204663213
1	4050000	4099999	0.000720014	0.000801180604800725
1	4100000	4149999	0.000880018	0.000877032393181818
1	4150000	4199999	0.000800016	0.00081642906175926
1	4200000	4249999	0.000840017	0.000823512075843882
1	4250000	4299999	0.000700014	0.000750383962453183
1	4300000	4349999	0.000660013	0.000673607135655058
1	4350000	4399999	0.000920018	0.000855051831384015
1	4400000	4449999	0.000600012	0.000805934850881834
1	4450000	4499999	0.000840017	0.000781075643478261
1	4500000	4549999	0.000700014	0.000799253407642725
1	4550000	4599999	0.000720014	0.000762284553022453
1	4600000	4649999	0.000780016	0.000717285751984127
1	4650000	4699999	0.000760015	0.000772680298421052
1	4700000	4749999	0.00112002	0.000744014809399225
1	4750000	4799999	0.000900018	0.000756983390138067
1	4800000	4849999	0.000920018	0.000808495240972222
1	4850000	4899999	0.000780016	0.00067203112712766
1	4900000	4949999	0.000640013	0.000487603385674157
1	4950000	4999999	0.000660013	0.000684615812275986
1	5e+06	5049999	0.000760015	0.000746527580896686
1	5050000	5099999	0.000440009	0.000605897667168675
1	5100000	5149999	0.000660013	0.000495443816049383
1	5150000	5199999	0.000460009	0.000588357839162113
1	5200000	5249999	0.000700014	0.000678877046101365
1	5250000	5299999	0.000760015	0.000570585500555556
1	5300000	5349999	0.000920018	0.000707662753423423
1	5350000	5399999	0.000640013	0.000729545123384354
1	5400000	5449999	0.000740015	0.000776893909803921
1	5450000	5499999	0.00102002	0.000708023089549549
1	5500000	5549999	0.000900018	0.000810253736740331
1	5550000	5599999	0.000680014	0.000805618254390681
1	5600000	5649999	0.000920018	0.000675056465549828
1	5650000	5699999	0.000460009	0.000820331228205128
1	5700000	5749999	0.000740015	0.0010002951751269
1	5750000	5799999	0.000620012	0.000733705007106599
1	5800000	5849999	0.000740015	0.000851077675782689
1	5850000	5899999	0.00098002	0.000889462215846995
1	5900000	5949999	0.00100002	0.000966917002280702
1	5950000	5999999	0.000880018	0.000893677143137255
1	6e+06	6049999	0.000960019	0.000835188198833333
1	6050000	6099999	0.00100002	0.000991378752951389
1	6100000	6149999	0.000940019	0.000970918285805861
1	6150000	6199999	0.000900018	0.000942962881684028
1	6200000	6249999	0.00104002	0.00101715657504873
1	6250000	6299999	0.00104002	0.00107399987954546
1	6300000	6349999	0.00102002	0.000905442630197133
1	6350000	6399999	0.000740015	0.000874354336553031
1	6400000	6449999	0.000800016	0.000806940110621762
1	6450000	6499999	0.00148003	0.00118967325336788
1	6500000	6549999	0.00116002	0.00112802038452381
1	6550000	6599999	0.00120002	0.00110015730714286
1	6600000	6649999	0.00100002	0.00110710601982456
1	6650000	6699999	0.00124002	0.0010814409
1	6700000	6749999	0.000900018	0.000834873790299824
1	6750000	6799999	0.000740015	0.000968153995921986
1	6800000	6849999	0.000820016	0.000921933401261261
1	6850000	6899999	0.000840017	0.000681264953910615
1	6900000	6949999	0.000940019	0.000768482715421456
1	6950000	6999999	0.000880018	0.000945710957984032
1	7e+06	7049999	0.00100002	0.000890826129230769
1	7050000	7099999	0.000940019	0.000792568840810811
1	7100000	7149999	0.000820016	0.000825101006218906
1	7150000	7199999	0.000660013	0.000881121580057803
1	7200000	7249999	0.00102002	0.000818061545199275
1	7250000	7299999	0.000620012	0.000661958746855346
1	7300000	7349999	0.000800016	0.000712371885555556
1	7350000	7399999	0.000880018	0.000733349679928315
1	7400000	7449999	0.000600012	0.00079891631875
1	7450000	7499999	0.000560011	0.000669751105076142
1	7500000	7549999	0.000780016	0.000797157288175046
1	7550000	7599999	0.000800016	0.000903208897982456
1	7600000	7649999	0.000940019	0.000857723922687609
1	7650000	7699999	0.000960019	0.000736456202705061
1	7700000	7749999	0.000840017	0.000914282050455373
1	7750000	7799999	0.000760015	0.000837895509912281
1	7800000	7849999	0.000600012	0.000964066027958115
1	7850000	7899999	0.000880018	0.000737340921164021
1	7900000	7949999	0.000600012	0.000767508546380471
1	7950000	7999999	0.000660013	0.000672250536069652
1	8e+06	8049999	0.000820016	0.000894024589965986
1	8050000	8099999	0.000720014	0.000858894544324324
1	8100000	8149999	0.000720014	0.000680723806534091
1	8150000	8199999	0.000820016	0.000784959700328407
1	8200000	8249999	0.000880018	0.000755034114885058
1	8250000	8299999	0.00122002	0.000746088916969697
1	8300000	8349999	0.00050001	0.000604652784784111
1	8350000	8399999	0.000720014	0.000778751987860082
1	8400000	8449999	0.000800016	0.000957215380057803
1	8450000	8499999	0.000940019	0.000918313569836957
1	8500000	8549999	0.000860017	0.000757263255939716
1	8550000	8599999	0.00106002	0.000712849186531986
1	8600000	8649999	0.000760015	0.000771859139583334
1	8650000	8699999	0.000660013	0.000809931805175438
1	8700000	8749999	0.000760015	0.000782590236458333
1	8750000	8799999	0.000760015	0.000760543926350093
1	8800000	8849999	0.000600012	0.000758065341265061
1	8850000	8899999	0.00118002	0.000881826034395425
1	8900000	8949999	0.00146003	0.00126457781929348
1	8950000	8999999	0.000560011	0.000775173477951389
1	9e+06	9049999	0.000840017	0.000773808156756757
1	9050000	9099999	0.000740015	0.000790775139393939
1	9100000	9149999	0.000620012	0.000764619435739751
1	9150000	9199999	0.000680014	0.000778522417198582
1	9200000	9249999	0.000820016	0.000788357585726496
1	9250000	9299999	0.000820016	0.000792516564615385
1	9300000	9349999	0.000800016	0.000996476791489362
1	9350000	9399999	0.000960019	0.000955749844585448
1	9400000	9449999	0.000880018	0.000873867590909091
1	9450000	9499999	0.000740015	0.000924198049616858
1	9500000	9549999	0.000680014	0.000777607890398551
1	9550000	9599999	0.000700014	0.000716771524470135
1	9600000	9649999	0.000620012	0.000792211469929453
1	9650000	9699999	0.000840017	0.000909822026366843
1	9700000	9749999	0.000820016	0.000753032047159091
1	9750000	9799999	0.00106002	0.000915337300265958
1	9800000	9849999	0.000780016	0.000772309976744186
1	9850000	9899999	0.000640013	0.000774562665240642
1	9900000	9949999	0.00100002	0.000880192023511905
1	9950000	9999999	0.000780016	0.000694424370809793
1	1e+07	10049999	0.000620012	0.00061392729325
1	10050000	10099999	0.00102002	0.000729221245989305
1	10100000	10149999	0.000820016	0.000739268888468013
1	10150000	10199999	0.000680014	0.000546392362222222
1	10200000	10249999	0.000640013	0.000590782508285164
1	10250000	10299999	0.00102002	0.000756243065803109
1	10300000	10349999	0.000780016	0.000645648413553114
1	10350000	10399999	0.000840017	0.000631561093507752
1	10400000	10449999	0.000740015	0.000709782827140255
1	10450000	10499999	0.00116002	0.000914273145588235
1	10500000	10549999	0.000700014	0.000822990720491803
1	10550000	10599999	0.00138003	0.000957039888541667
1	10600000	10649999	0.000760015	0.000710462358703704
1	10650000	10699999	0.000920018	0.000806559870272904
1	10700000	10749999	0.000800016	0.000876593305555555
1	10750000	10799999	0.000700014	0.00102174772607945
1	10800000	10849999	0.000840017	0.00100022456212121
1	10850000	10899999	0.00102002	0.000889271952105263
1	10900000	10949999	0.000800016	0.000916469303558052
1	10950000	10999999	0.000680014	0.000852413923856209
1	1.1e+07	11049999	0.000800016	0.000858747459640523
1	11050000	11099999	0.000920018	0.000894657718351064
1	11100000	11149999	0.00106002	0.000855221521150098
1	11150000	11199999	0.000920018	0.000736079366095238
