chr	start	end	breaks	predicted
1	0	49999	0.628243	0.643837502524949
1	50000	99999	1.03624	0.566589564537038
1	1e+05	149999	0.770235	0.537548989215237
1	150000	199999	0.129792	0.13164051167103
1	2e+05	249999	0.804452	0.368551963965608
1	250000	299999	0.268435	0.123746841416666
1	3e+05	349999	0.00150003	0.0598087617674956
1	350000	399999	0.0179603	0.0691373505670407
1	4e+05	449999	0.0052501	0.109919834163795
1	450000	499999	0.00822016	0.0789469972299011
1	5e+05	549999	0.483689	0.738012127558659
1	550000	599999	0.254575	1.01353805613636
1	6e+05	649999	0.279046	0.282266625017921
1	650000	699999	0.648063	0.451062472891385
1	7e+05	749999	2.05811	2.94434497474748
1	750000	799999	3.10255	3.537275734375
1	8e+05	849999	4.51569	3.92046585440613
1	850000	899999	5.00132	4.81368637476459
1	9e+05	949999	5.09836	4.76963656203704
1	950000	999999	5.47025	5.21396599003623
1	1e+06	1049999	4.03547	4.21017098400673
1	1050000	1099999	4.94904	4.37133044471545
1	1100000	1149999	4.55007	4.24450478219697
1	1150000	1199999	4.80284	4.8153675093633
1	1200000	1249999	5.59722	5.62546275050505
1	1250000	1299999	5.38985	5.52171934042553
1	1300000	1349999	4.3635	4.57202173463687
1	1350000	1399999	4.91981	4.75759430236794
1	1400000	1449999	4.08978	4.06964376666667
1	1450000	1499999	3.74917	3.84631790791897
1	1500000	1549999	3.84155	4.12414783039216
1	1550000	1599999	3.8301	4.5882624845173
1	1600000	1649999	2.75292	4.44319977425044
1	1650000	1699999	3.31755	3.97986960857143
1	1700000	1749999	3.66643	3.66362100123314
1	1750000	1799999	3.72199	3.40679123333333
1	1800000	1849999	4.63145	4.50084290720721
1	1850000	1899999	4.37326	4.14888792757417
1	1900000	1949999	3.49735	3.19515473508772
1	1950000	1999999	4.3085	4.34454482677903
1	2e+06	2049999	3.41532	3.5294595026455
1	2050000	2099999	4.24697	4.16640465630885
1	2100000	2149999	5.33561	5.10411368783068
1	2150000	2199999	4.73944	4.9368941491228
1	2200000	2249999	4.62963	4.47146089253188
1	2250000	2299999	4.31201	4.09018822975518
1	2300000	2349999	4.93107	4.87468968876611
1	2350000	2399999	5.29786	5.23460370390071
1	2400000	2449999	5.01108	4.53173500279329
1	2450000	2499999	6.1029	5.63353051197053
1	2500000	2549999	4.03739	3.77417728921569
1	2550000	2599999	3.97861	3.58768966931217
1	2600000	2649999	2.58923	3.98648832653631
1	2650000	2699999	0.658101	0.914394748071553
1	2700000	2749999	2.80774	2.66607518455744
1	2750000	2799999	2.65467	2.65848340018018
1	2800000	2849999	2.9632	2.69557302295918
1	2850000	2899999	2.66907	2.53201850904762
1	2900000	2949999	2.77344	2.60383949603175
1	2950000	2999999	2.88119	2.73269526036036
1	3e+06	3049999	2.82821	2.74130347865961
1	3050000	3099999	2.62453	2.70993341485507
1	3100000	3149999	2.71375	2.69300158110517
1	3150000	3199999	2.7415	2.60420167271157
1	3200000	3249999	2.83603	2.77904318787879
1	3250000	3299999	2.88061	2.73561229118774
1	3300000	3349999	3.30579	3.45486712380952
1	3350000	3399999	5.28873	5.30338605389221
1	3400000	3449999	5.01178	4.46694738919926
1	3450000	3499999	4.74852	4.05672094003527
